Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 14:22:28,1000,23.2,25.7
2025-02-27 14:22:29,1000,23.16,25.6
2025-02-27 14:22:30,1000,23.23,25.63
2025-02-27 14:22:31,980,23.3,25.67
2025-02-27 14:22:32,980,23.06,25.67
2025-02-27 14:22:33,980,23.03,25.67
2025-02-27 14:22:34,960,23.23,25.63
2025-02-27 14:22:35,960,23.16,25.6
2025-02-27 14:22:36,960,23.06,25.7
2025-02-27 14:22:37,940,23.3,25.57
2025-02-27 14:22:38,940,23.2,25.7
2025-02-27 14:22:39,940,23.23,25.63
2025-02-27 14:22:40,920,23.13,25.67
2025-02-27 14:22:41,920,23.2,25.7
2025-02-27 14:22:42,920,23.16,25.77
