Time,Height,Temp1 (Ambient)
2025-03-07 13:58:40,500,22.18
2025-03-07 13:58:42,500,22.25
2025-03-07 13:58:44,500,22.25
2025-03-07 13:58:46,500,22.25
2025-03-07 13:58:48,500,22.25
2025-03-07 13:58:50,500,22.18
2025-03-07 13:58:53,500,22.29
2025-03-07 13:58:55,500,22.29
2025-03-07 13:58:57,500,22.32
2025-03-07 13:58:59,500,22.15
2025-03-07 13:59:01,500,22.18
2025-03-07 13:59:03,500,22.29
2025-03-07 13:59:05,500,22.29
2025-03-07 13:59:08,500,22.22
2025-03-07 13:59:10,500,22.32
2025-03-07 13:59:12,500,22.18
2025-03-07 13:59:14,500,22.25
2025-03-07 13:59:16,500,22.32
2025-03-07 13:59:18,500,22.15
