Time,Height,Temp2 (Water)
2025-03-07 13:58:40,500,24.69
2025-03-07 13:58:42,500,24.75
2025-03-07 13:58:44,500,24.58
2025-03-07 13:58:46,500,24.82
2025-03-07 13:58:48,500,24.72
2025-03-07 13:58:50,500,24.69
2025-03-07 13:58:53,500,24.85
2025-03-07 13:58:55,500,24.65
2025-03-07 13:58:57,500,24.92
2025-03-07 13:58:59,500,24.62
2025-03-07 13:59:01,500,24.79
2025-03-07 13:59:03,500,24.79
2025-03-07 13:59:05,500,24.65
2025-03-07 13:59:08,500,24.72
2025-03-07 13:59:10,500,24.96
2025-03-07 13:59:12,500,24.69
2025-03-07 13:59:14,500,24.75
2025-03-07 13:59:16,500,24.79
2025-03-07 13:59:18,500,24.72
